sample_id,nearest_rmse
0,0.0907471681377077
1,0.08537311610764717
2,0.1009870139662438
3,0.10154506622094606
4,0.10568173073706133
5,0.08692663226257628
6,0.08187487022256093
7,0.10759541514746995
8,0.08300580154910715
9,0.09985772230959804
10,0.09682913285417856
11,0.10449015597829893
12,0.08588965720786107
13,0.07421289455479575
14,0.10265353519516227
15,0.1082866745355366
16,0.11681656523295339
17,0.08100591477225687
18,0.08785058599918263
19,0.09716946800534858
20,0.1149717872141952
21,0.06966887916677614
22,0.08884399887843472
23,0.10641694315525711
24,0.08271884832958351
25,0.09623258004296996
26,0.0897856170537464
27,0.09091101461230765
28,0.08993687700371869
29,0.089958102070698
30,0.10416305333796809
31,0.09206193005035901
32,0.08025046452661386
33,0.09937885151292082
34,0.08897039824679608
35,0.0922861316206823
36,0.08313356107049642
37,0.08621888454627516
38,0.10391033521746067
39,0.0889084868971434
40,0.09318558253514939
41,0.0762498416528705
42,0.08448403673266107
43,0.07721437727911593
44,0.1057782956037887
45,0.12205663263766355
46,0.07287363958357007
47,0.08041626719801048
48,0.08756134811885384
49,0.08696834580356613
50,0.083370246988268
51,0.11565056536712892
52,0.100744517833509
53,0.08841179921052592
54,0.10615330630874552
55,0.10171204727751752
56,0.12175060202538135
57,0.07822329951368098
58,0.11049033662373546
59,0.09728353311150133
60,0.09207576621911652
61,0.11691288496931665
62,0.10840591354244423
63,0.11546290190620473
64,0.07242576126732496
65,0.0994784314054008
66,0.09738731274248308
67,0.09760594850263568
68,0.13737161309465876
69,0.09363811425109336
70,0.09063420675357532
71,0.08536107556375065
72,0.1196016928888083
73,0.09515691345891257
74,0.0991015653531713
75,0.08372338475346176
76,0.11138058006390186
77,0.09812390291547277
78,0.0816206704052268
79,0.11179547070981484
80,0.09118754507118364
81,0.11606293245978822
82,0.08611032607294238
83,0.08657149752005666
84,0.0873100582955083
85,0.12498984133903056
86,0.1592314767572423
87,0.09932771373058918
88,0.09462269545150535
89,0.08740312568725014
90,0.09826339476439669
91,0.08212693710898085
92,0.07665126288042556
93,0.129059395113718
94,0.10928706138582787
95,0.08595823792325101
96,0.07053472555955084
97,0.11129418957600304
98,0.10774051506660613
99,0.10357613284809865
100,0.08895238467176339
101,0.11372241021101835
102,0.10157222199212895
103,0.07571169827901218
104,0.08304337936853307
105,0.11447637081492068
106,0.08801037016840207
107,0.13438078843312604
108,0.09216898357029034
109,0.10652938272941179
110,0.10093427182050098
111,0.0979585365082181
112,0.08197162143457976
113,0.11122036903771956
114,0.08890909079481234
115,0.10602026705567878
116,0.09337290699389086
117,0.11075294427276534
118,0.08755679426021948
119,0.07814195185629631
120,0.12997539206556727
121,0.09835607975976664
122,0.12766690324678084
123,0.10445488535539756
124,0.1097648167867566
125,0.08200669714176144
126,0.10921270430013748
127,0.11886054669904951
128,0.08148767238384093
129,0.10080562632022268
130,0.14439096417917563
131,0.08560291071015078
132,0.11237566712191051
133,0.09095301799992661
134,0.0938050971435634
135,0.08964074350446721
136,0.10141721027161578
137,0.09974798217979765
138,0.09212150244853919
139,0.09003901575905152
140,0.08858146108080081
141,0.09167858653416823
142,0.0804305934026684
143,0.10904683435927547
144,0.0809050596221426
145,0.10073544758062228
146,0.08020571943794103
147,0.06775884026312966
148,0.14271734157153046
149,0.10594539282298489
150,0.09697412991233346
151,0.08540624727792828
152,0.07430712981964685
153,0.10090091114385816
154,0.12403331933541373
155,0.11707647249421926
156,0.08135249715396735
157,0.08757571506520873
158,0.10502460698016337
159,0.1095060480020396
160,0.13571295285805865
161,0.07841404962493388
162,0.09057759902940417
163,0.10156468955033188
164,0.10446208309106488
165,0.10818545885104874
166,0.092504802305495
167,0.13866160177604353
168,0.08545827128046841
169,0.08204737574917789
170,0.08914247814002584
171,0.10086171606949128
172,0.09274397528019736
173,0.1122439234414577
174,0.09192759071427319
175,0.11922137714980431
176,0.13011968081925177
177,0.10991425493321831
178,0.11900893555207309
179,0.07089246454529526
180,0.08192735200583208
181,0.10518581232690406
182,0.07856740107458356
183,0.12320376622097795
184,0.11363226093219685
185,0.08868662722085882
186,0.1094392675120487
187,0.10643790361120614
188,0.10848397086869689
189,0.11299191531269762
190,0.08808966890946739
191,0.08230955636220758
192,0.08052785738603731
193,0.08241603068078641
194,0.10587210474280852
195,0.0762249507275825
196,0.09121855206466567
197,0.08059121010429643
198,0.12196682320117426
199,0.11540989333768341
